id	state	city	potencia kwp	nro_paineis	geracao_media	preco
9	SP	São Paulo	1.13	3	133	R$10.076,22
22	SP	São Paulo	1.34	4	158	R$10.333,53
24	SP	São Paulo	1.34	4	158	R$10.386,61
46	SP	São Paulo	1.5	4	177	R$10.812,39
51	SP	São Paulo	1.35	3	159	R$10.883,93
55	SP	São Carlos	1.5	4	177	R$10.972,78
57	SP	São Paulo	1.38	3	163	R$11.008,55
99	SP	São Paulo	1.88	5	222	R$12.002,03
104	SP	São Paulo	1.8	4	212	R$12.047,03
116	SP	São Paulo	2.01	6	237	R$12.143,96
117	SP	São Carlos	1.8	4	212	R$12.188,96
120	SP	São Paulo	1.84	4	217	R$12.223,57
129	SP	São Paulo	1.88	5	222	R$12.357,42
130	SP	São Paulo	1.84	4	217	R$12.357,42
153	SP	São Paulo	2.25	6	266	R$12.783,20
183	SP	São Carlos	2.25	6	266	R$13.395,91
204	SP	São Paulo	2.25	5	266	R$13.840,15
225	SP	São Paulo	2.3	5	271	R$14.044,38
236	SP	São Paulo	2.68	8	316	R$14.194,38
240	SP	São Paulo	2.68	8	316	R$14.283,23
246	SP	São Paulo	2.63	7	310	R$14.381,31
249	SP	São Paulo	2.68	8	316	R$14.460,93
283	SP	São Carlos	2.7	6	319	R$15.002,09
296	SP	São Paulo	2.7	6	319	R$15.090,94
311	SP	São Paulo	2.76	6	326	R$15.259,41
312	SP	São Paulo	2.7	6	319	R$15.268,64
314	SP	São Paulo	3	8	354	R$15.277,87
318	SP	São Paulo	2.76	6	326	R$15.348,26
330	SP	São Paulo	3	8	354	R$15.463,64
333	SP	São Paulo	2.76	6	326	R$15.525,95
389	SP	São Carlos	3.15	7	372	R$16.263,28
393	SP	São Paulo	3.35	10	395	R$16.307,12
408	SP	São Paulo	3.15	7	372	R$16.431,74
414	SP	São Paulo	3.35	10	395	R$16.494,05
423	SP	São Paulo	3.22	7	380	R$16.564,44
442	SP	São Carlos	3.22	7	380	R$16.732,90
452	SP	São Paulo	3.38	9	399	R$16.840,21
456	SP	São Paulo	2.7	6	319	R$16.875,98
469	SP	São Paulo	2.68	8	316	R$16.991,37
480	SP	São Paulo	3	8	354	R$17.070,99
484	SP	São Paulo	2.76	6	326	R$17.124,06
488	SP	São Carlos	2.68	8	316	R$17.203,68
534	SP	São Paulo	3.6	8	425	R$17.612,15
548	SP	São Paulo	3.75	10	443	R$17.736,77
558	SP	São Paulo	3	8	354	R$17.816,39
571	SP	São Paulo	3.68	8	434	R$17.949,08
580	SP	São Paulo	3.15	7	372	R$18.037,93
587	SP	São Paulo	3	8	354	R$18.073,70
588	SP	São Paulo	3.35	10	395	R$18.092,16
615	SP	São Paulo	3.22	7	380	R$18.340,24
625	SP	São Paulo	3.38	9	399	R$18.438,32
648	SP	São Paulo	4.13	11	487	R$18.938,24
653	SP	São Paulo	3.35	10	395	R$18.756,79
665	SP	São Paulo	3.69	11	435	R$19.170,17
675	SP	São Paulo	3.35	10	395	R$18.970,26
691	SP	São Paulo	3.6	8	425	R$19.201,03
695	SP	São Paulo	4.05	9	478	R$19.246,03
706	SP	São Paulo	3.75	10	443	R$19.342,96
737	SP	São Paulo	3.68	8	434	R$19.547,19
746	SP	São Paulo	4.14	9	489	R$19.626,81
748	SP	São Carlos	4.02	12	474	R$19.942,11
753	SP	São Paulo	2.7	6	319	R$19.681,04
772	SP	São Paulo	3.75	10	443	R$19.796,43
787	SP	São Paulo	2.76	6	326	R$19.929,13
790	SP	São Paulo	2.7	6	319	R$19.972,97
799	SP	São Paulo	3.75	10	443	R$20.044,51
811	SP	São Paulo	4.02	12	474	R$20.385,19
824	SP	São Paulo	2.76	6	326	R$20.231,44
825	SP	São Carlos	4.02	12	474	R$20.528,27
826	SP	São Paulo	4.13	11	487	R$20.536,35
828	SP	São Paulo	3.75	10	443	R$20.257,98
890	SP	São Paulo	4.02	12	474	R$21.077,52
899	SP	São Paulo	4.13	11	487	R$21.131,75
902	SP	São Paulo	4.13	11	487	R$21.131,75
903	SP	São Paulo	3.15	7	372	R$20.842,99
905	SP	São Paulo	4.05	9	478	R$20.852,22
945	SP	São Paulo	3.22	7	380	R$21.145,31
955	SP	São Paulo	4.14	9	489	R$21.234,15
962	SP	São Paulo	4.13	11	487	R$21.601,37
970	SP	São Paulo	4.5	12	531	R$21.914,25
979	SP	São Paulo	4.05	9	478	R$21.438,39
1015	SP	São Paulo	4.5	12	531	R$22.028,31
1023	SP	São Paulo	4.14	9	489	R$21.820,32
1048	SP	São Paulo	3.6	8	425	R$22.015,32
1054	SP	São Paulo	4.5	12	531	R$22.382,54
1080	SP	São Paulo	4.69	14	553	R$22.857,07
1081	SP	São Paulo	3.6	8	425	R$22.272,64
1092	SP	São Carlos	3.68	8	434	R$22.352,26
1106	SP	São Paulo	4.69	14	553	R$23.132,85
1112	SP	São Paulo	4.5	12	531	R$22.906,40
1113	SP	São Paulo	3.68	8	434	R$22.609,57
1114	SP	São Paulo	4.5	10	531	R$22.609,57
1152	SP	São Paulo	4.6	10	543	R$23.036,50
1228	SP	São Paulo	4.05	9	478	R$23.657,28
1239	SP	São Paulo	4.95	11	584	R$24.069,50
1267	SP	São Carlos	5.25	14	620	R$24.650,06
1272	SP	São Paulo	4.14	9	489	R$24.039,22
1274	SP	São Paulo	5.25	14	620	R$24.712,37
1293	SP	São Paulo	5.06	11	597	R$24.552,99
1302	SP	São Paulo	5.36	16	632	R$25.378,67
1323	SP	São Paulo	5.25	14	620	R$25.227,00
1346	SP	São Paulo	4.5	10	531	R$25.088,26
1355	SP	São Paulo	5.63	15	664	R$25.923,94
1357	SP	São Paulo	5.4	12	637	R$25.317,33
1381	SP	São Paulo	4.5	10	531	R$25.121,55
1403	SP	São Paulo	4.6	10	543	R$25.535,22
1411	SP	São Paulo	5.4	12	637	R$25.725,80
1424	SP	São Carlos	5.52	12	651	R$25.857,37
1439	SP	São Paulo	4.6	10	543	R$25.548,48
1455	SP	São Paulo	4.5	10	531	R$25.681,17
1467	SP	São Paulo	6	16	708	R$26.908,10
1471	SP	São Paulo	6.03	18	712	R$27.247,06
1472	SP	São Paulo	5.52	12	651	R$26.256,61
1492	SP	São Paulo	4.6	10	543	R$26.106,95
1497	SP	São Paulo	6	16	708	R$27.245,03
1499	SP	São Paulo	6.03	18	712	R$27.565,53
1502	SP	São Paulo	6	16	708	R$27.307,34
1624	SP	São Paulo	6.3	14	743	R$28.627,16
1629	SP	São Paulo	6.7	20	791	R$29.628,92
1643	SP	São Paulo	5.4	12	637	R$28.388,94
1649	SP	São Paulo	6.75	18	797	R$29.635,76
1651	SP	São Paulo	6.75	18	797	R$29.671,53
1654	SP	São Paulo	6.3	14	743	R$29.026,40
1672	SP	São Paulo	6.44	14	760	R$29.252,21
1679	SP	São Paulo	6.75	18	797	R$30.035,00
1681	SP	São Paulo	5.52	12	651	R$28.919,75
1690	SP	São Paulo	5.4	12	637	R$28.992,41
1703	SP	São Paulo	6.44	14	760	R$29.642,22
1717	SP	São Carlos	6.75	15	797	R$30.182,41
1735	SP	São Paulo	5.52	12	651	R$29.532,45
1755	SP	São Paulo	6.75	15	797	R$30.581,65
1776	SP	São Paulo	6.9	15	814	R$30.844,19
1790	SP	São Carlos	7.37	22	870	R$32.388,39
1801	SP	São Paulo	6.9	15	814	R$31.252,66
1822	SP	São Paulo	7.5	20	885	R$32.293,04
1842	SP	São Paulo	7.2	16	850	R$31.849,30
1888	SP	São Paulo	7.5	20	885	R$33.172,29
1889	SP	São Carlos	7.36	16	868	R$32.557,05
1904	SP	São Paulo	7.2	16	850	R$32.719,31
1910	SP	São Paulo	6.3	14	743	R$32.293,01
1957	SP	São Paulo	6.44	14	760	R$32.927,29
1959	SP	São Paulo	7.36	16	868	R$33.436,30
1966	SP	São Paulo	7.65	17	903	R$33.892,63
1972	SP	São Paulo	8.04	24	949	R$38.524,66
2007	SP	São Carlos	7.88	21	930	R$35.231,09
2028	SP	São Paulo	7.82	17	923	R$34.638,27
2037	SP	São Paulo	7.65	17	903	R$34.761,50
2058	SP	São Paulo	8.1	18	956	R$35.149,89
2076	SP	São Paulo	8.25	22	974	R$36.206,01
2081	SP	São Paulo	8.38	25	989	R$39.848,63
2097	SP	São Paulo	7.82	17	923	R$35.517,52
2135	SP	São Paulo	8.1	18	956	R$36.029,14
